features,model,mae,rmse,r2,mape
mixed_small_3,ridge,6.83538331611698,8.674058979745615,0.3562067113380061,20.196708029551374
mixed_small_1,ridge,6.885134156212063,8.490452862804947,0.38317294577475747,20.29454411461885
sweat_threshold,ridge,6.913522396051807,8.59214246472464,0.35304614839094395,20.093888138403013
mixed_small_3,huber,6.922816724753466,8.70613431492377,0.35143661106155777,19.537753996908187
mixed_small_2,huber,7.005863250574733,8.30209490843034,0.4102375861672797,19.13370974092324
sweat_basic,ridge,7.036727773727076,8.143983201759376,0.43248748693602834,19.92850764268023
mixed_small_1,huber,7.0586830339496265,8.55777098908966,0.3733529147015645,20.22169030855925
sweat_trend,ridge,7.068169067404338,8.282459094911554,0.41302405634342676,20.57432227150823
mixed_small_2,ridge,7.069875529032605,8.247523731664854,0.4179653352611471,20.041925087370984
sweat_basic,huber,7.074424549348625,8.267003308539737,0.415212708277482,19.37991669736134
sweat_threshold,lasso,7.182590657643486,8.696663659617773,0.3372103583813161,21.3733971249026
sweat_threshold,huber,7.227991691785894,8.944671008912506,0.2988691007944567,20.286250266151743
mixed_small_1,lasso,7.312474583419341,8.725347984457402,0.3485708080195812,21.876460249223793
mixed_small_3,lasso,7.332362494839961,8.953512353793862,0.31405613262799703,22.050711879322982
sweat_trend,lasso,7.408907788052991,8.900246518770635,0.32219342851442556,22.143377661201484
sweat_basic,lasso,7.444104226302409,8.751912861107083,0.3445981345043485,22.09235721647467
mixed_small_2,lasso,7.444111319968489,8.751917965709008,0.34459736997054813,22.092389500039094
sweat_trend,huber,7.586135711432551,8.986153641588059,0.30904560638723355,22.08619743521082
lactate_basic,ridge,9.070689419247424,10.843174772009647,-0.006038541759415539,28.536263879074124
lactate_basic,huber,9.164674020907768,10.950494271574977,-0.026051472558279,28.827138827607403
lactate_plus_body,ridge,9.260215260089193,11.400762267644536,-0.11216566357869673,29.4594623843172
lactate_basic,lasso,9.686265437615841,11.163862775398387,-0.06642589589576553,30.375513494726636
lactate_plus_body,lasso,9.865947116717697,11.51432362408091,-0.1344322562272997,31.20327193633998
lactate_plus_body,huber,9.872165721438279,11.62205981831388,-0.15576068223901496,30.980245418572995
